Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_003397921.1,LOC406100,Obp5,NP_001011588.1,406100,odorant binding protein 5 precursor,GB53367,GB13560,XM_003397873.2,general odorant-binding protein 56d-like,LOC100652244
XP_003397925.1,LOC411340,LOC411340,XP_394814.1,411340,PREDICTED: short-chain dehydrogenase/reductase family 16C member 6,GB42672,GB10419,XM_003397877.1,estradiol 17-beta-dehydrogenase 11-like,LOC100642695
XP_003397926.2,LOC724895,LOC724895,XP_001120795.1,724895,PREDICTED: arginine-glutamic acid dipeptide repeats protein-like isoform X2,GB42825,GB18456,XM_003397878.2,arginine-glutamic acid dipeptide repeats protein-like,LOC100642811
XP_003397931.1,LOC411293,LOC411293,XP_394767.2,411293,PREDICTED: zinc finger protein 622,GB53398,GB16154,XM_003397883.2,zinc finger protein 622,LOC100643579
XP_003397933.1,LOC411295,LOC411295,XP_394769.2,411295,PREDICTED: V-type proton ATPase subunit D 1,GB53360,GB15226,XM_003397885.2,V-type proton ATPase subunit D,LOC100643813
XP_003397934.1,LOC724269,LOC724269,XP_006567415.1,724269,PREDICTED: connectin,GB53374,GB11011,XM_003397886.2,connectin isoform X2,LOC100643941
XP_003397935.2,LOC412880,LOC412880,XP_396332.2,412880,PREDICTED: myotubularin-related protein 9,GB42680,GB19180,XM_003397887.2,LOW QUALITY PROTEIN: myotubularin-related protein 9,LOC100644065
XP_003397936.1,LOC408980,LOC408980,XP_392512.2,408980,PREDICTED: DNA oxidative demethylase ALKBH1,GB53359,GB11535,XM_003397888.2,alkylated DNA repair protein alkB homolog 1,LOC100644178
XP_003397937.1,LOC408981,LOC408981,XP_392513.1,408981,PREDICTED: activating transcription factor 3 isoform X1,GB53401,GB11753,XM_003397889.2,transcription factor pcr1 isoform X1,LOC100644299
XP_003397938.1,LOC726721,LOC726721,XP_016769607.1,726721,PREDICTED: protein transport protein Sec61 subunit gamma isoform X1,GB53358,GB15613,XM_003397890.2,protein transport protein Sec61 subunit gamma,LOC100644410
XP_003397942.1,LOC100577196,LOC100577196,XP_006567442.1,100577196,PREDICTED: alpha-protein kinase 1,GB53403,GB16171,XM_003397894.2,uncharacterized protein LOC100644895 isoform X1,LOC100644895
XP_003397946.1,LOC411297,LOC411297,XP_394771.5,411297,PREDICTED: insulin-like peptide receptor,GB53353,GB15492,XM_003397898.2,insulin-like peptide receptor isoform X2,LOC100645413
XP_003397947.1,LOC408985,LOC408985,NP_001035057.1,408985,pteropsin,GB53350,GB12200,XM_003397899.2,green-sensitive opsin-like,LOC100645528
XP_003397948.1,LOC408986,LOC408986,XP_392518.1,408986,PREDICTED: proteasome subunit alpha type-3,GB53349,GB12732,XM_003397900.2,proteasome subunit alpha type-3,LOC100645639
XP_003397950.1,LOC408976,LOC408976,XP_016769394.1,408976,PREDICTED: glycogen synthase kinase-3 beta isoform X11,GB53394,GB30241,XM_003397902.2,glycogen synthase kinase-3 beta-like isoform X3,LOC100645880
XP_003397951.1,LOC100578770,LOC100578770,XP_003251065.2,100578770,PREDICTED: uncharacterized protein LOC100578770,GB53345,GB13825,XM_003397903.2,uncharacterized protein LOC100645997,LOC100645997
XP_003397952.1,LOC408987,LOC408987,XP_006567452.1,408987,PREDICTED: sortilin-related receptor,GB53341,GB16556,XM_003397904.2,sortilin-related receptor-like,LOC100646183
XP_003397955.1,LOC725595,LOC725595,XP_003249898.1,725595,PREDICTED: spermatogenesis-defective protein 39 homolog,GB42785,GB14545,XM_003397907.2,spermatogenesis-defective protein 39 homolog,LOC100646545
XP_003397958.1,LOC724583,LOC724583,XP_006561735.1,724583,PREDICTED: uncharacterized protein LOC724583,NA,GB15323,XM_003397910.2,uncharacterized protein LOC100646913 isoform X1,LOC100646913
XP_003397967.1,LOC410032,Trxr-1,NP_001171496.1,410032,thioredoxin reductase 1 isoform 1,GB40718,GB14972,XM_003397919.2,"thioredoxin reductase 2, mitochondrial isoform X4",LOC100648102
XP_003397970.1,LOC410033,LOC410033,XP_006563351.1,410033,PREDICTED: B-cell CLL/lymphoma 7 protein family member B,GB40717,GB17186,XM_003397922.2,B-cell CLL/lymphoma 7 protein family member B isoform X1,LOC100648445
XP_003397972.1,LOC411794,LOC411794,XP_006563346.1,411794,PREDICTED: CCR4-NOT transcription complex subunit 3,GB40720,GB13637,XM_003397924.2,CCR4-NOT transcription complex subunit 3,LOC100648868
XP_003397973.1,LOC412190,LOC412190,XP_395653.2,412190,PREDICTED: probable ATP-dependent RNA helicase DDX47,GB40858,GB17141,XM_003397925.2,probable ATP-dependent RNA helicase DDX47,LOC100648984
XP_003397974.1,LOC412189,LOC412189,XP_395652.1,412189,PREDICTED: phosphopantothenoylcysteine decarboxylase,NA,GB19920,XM_003397926.2,phosphopantothenoylcysteine decarboxylase,LOC100649096
XP_003397977.1,LOC724786,LOC724786,XP_001120685.1,724786,PREDICTED: zinc finger HIT domain-containing protein 3,GB51656,GB16912,XM_003397929.2,zinc finger HIT domain-containing protein 3,LOC100649416
XP_003397978.1,LOC100578752,LOC100578752,XP_003249667.1,100578752,PREDICTED: uncharacterized protein LOC100578752,GB48018,GB14987,XM_003397930.2,uncharacterized protein LOC100649539,LOC100649539
XP_003397979.1,LOC552366,LOC552366,XP_016773447.1,552366,PREDICTED: uncharacterized protein LOC552366,GB48038,GB10825,XM_003397931.2,uncharacterized protein LOC100649660,LOC100649660
XP_003397980.1,LOC727399,LOC727399,XP_001123108.2,727399,PREDICTED: protein numb isoform X1,GB48034,GB18756,XM_003397932.2,protein numb isoform X1,LOC100649775
XP_003397981.1,LOC725982,LOC725982,XP_001121762.2,725982,PREDICTED: vacuolar protein sorting-associated protein 54,GB48031,GB12582,XM_003397933.2,vacuolar protein sorting-associated protein 54 isoform X1,LOC100649964
XP_003397982.1,LOC726015,LOC726015,XP_016768884.1,726015,PREDICTED: cytoplasmic dynein 2 light intermediate chain 1 isoform X1,GB48032,GB17212,XM_003397934.2,cytoplasmic dynein 2 light intermediate chain 1 isoform X1,LOC100650086
XP_003397983.1,LOC724357,LOC724357,XP_001120178.2,724357,PREDICTED: uncharacterized protein LOC724357,GB42812,GB16877,XM_003397935.2,uncharacterized protein LOC100650208,LOC100650208
XP_003397984.1,LOC411968,LOC411968,XP_016773375.1,411968,PREDICTED: kelch-like protein 10,GB48030,GB12199,XM_003397936.1,kelch-like protein 10,LOC100650329
XP_003397986.1,LOC408622,LOC408622,XP_623300.1,408622,PREDICTED: protein henna isoform X1,GB48022,GB18494,XM_003397938.2,protein henna isoform X1,LOC100650566
XP_003397987.1,LOC725922,LOC725922,XP_001121709.2,725922,PREDICTED: mitochondrial basic amino acids transporter-like isoform X1,GB48029,GB18512,XM_003397939.2,mitochondrial basic amino acids transporter-like,LOC100650690
XP_003397990.1,LOC413197,LOC413197,XP_016769199.1,413197,PREDICTED: G protein-coupled receptor kinase 1,GB51749,GB15959,XM_003397942.2,G protein-coupled receptor kinase 1 isoform X1,LOC100651375
XP_003397992.1,LOC409227,Usp,XP_006561616.1,409227,PREDICTED: ultraspiracle isoform X4,GB42692,GB16648,XM_003397944.2,retinoic acid receptor RXR-alpha-B isoform X4,LOC100651492
XP_003397993.1,LOC724613,LOC724613,XP_016769179.1,724613,PREDICTED: uncharacterized protein LOC724613 isoform X2,GB51748,NA,XM_003397945.2,protein phosphatase Slingshot isoform X2,LOC100651687
XP_003397994.1,LOC413196,LOC413196,XP_396646.1,413196,PREDICTED: ribosome maturation protein SBDS,GB51658,GB16575,XM_003397946.2,ribosome maturation protein SBDS,LOC100651808
XP_003397995.1,LOC552180,LOC552180,XP_624561.1,552180,"PREDICTED: cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial-like",GB51746,GB13846,XM_003397947.2,"cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial-like",LOC100651926
XP_003397996.2,LOC413195,LOC413195,XP_396645.4,413195,PREDICTED: alsin,GB51745,GB16680,XM_003397948.2,LOW QUALITY PROTEIN: alsin,LOC100652045
XP_003397997.1,LOC552223,LOC552223,XP_006569897.2,552223,PREDICTED: dnaJ homolog subfamily B member 11,GB51659,GB15525,XM_003397949.2,dnaJ homolog subfamily B member 11,LOC100652165
XP_003398003.1,LOC409262,LOC409262,XP_392783.4,409262,PREDICTED: uncharacterized protein C7orf26 homolog,GB42810,GB16543,XM_003397955.2,uncharacterized protein C7orf26 homolog,LOC100642696
XP_003398006.1,LOC100576902,LOC100576902,XP_003249902.2,100576902,PREDICTED: uncharacterized protein LOC100576902,GB42701,GB15641,XM_003397958.1,uncharacterized protein LOC100643049,LOC100643049
XP_003398008.1,LOC412768,LOC412768,XP_006561719.1,412768,PREDICTED: protein takeout-like,GB42704,GB20038,XM_003397960.2,circadian clock-controlled protein,LOC100643289
XP_003398012.1,LOC100577561,LOC100577561,XP_003249908.1,100577561,PREDICTED: uncharacterized protein LOC100577561,GB42689,GB15175,XM_003397964.2,uncharacterized protein LOC100643772,LOC100643772
XP_003398015.2,LOC724267,LOC724267,XP_001120059.2,724267,PREDICTED: ribosomal RNA-processing protein 7 homolog A,GB42691,GB12435,XM_003397967.2,ribosomal RNA-processing protein 7 homolog A isoform X1,LOC100644141
XP_003398018.1,LOC411832,LOC411832,XP_395299.2,411832,PREDICTED: translationally-controlled tumor protein homolog,GB42809,GB16412,XM_003397970.2,translationally-controlled tumor protein homolog,LOC100644566
XP_003398019.1,LOC411833,LOC411833,XP_395300.3,411833,PREDICTED: la protein homolog,GB42693,GB14277,XM_003397971.2,la protein homolog,LOC100644686
XP_003398020.1,LOC724137,NLG-5,XP_006561628.1,724137,PREDICTED: neuroligin 5 isoform X2,GB42808,GB13939,XM_003397972.2,"neuroligin-4, Y-linked-like",LOC100644811
XP_003398024.2,LOC411542,LOC411542,XP_395013.3,411542,PREDICTED: signal recognition particle receptor subunit alpha homolog,GB53389,GB13324,XM_003397976.2,LOW QUALITY PROTEIN: signal recognition particle receptor subunit alpha homolog,LOC100645380
XP_003398025.1,LOC412762,LOC412762,XP_396215.1,412762,PREDICTED: heparan-sulfate 6-O-sulfotransferase 1-B,GB42805,GB11586,XM_003397977.2,heparan-sulfate 6-O-sulfotransferase 1-B,LOC100645496
XP_003398026.1,LOC409600,LOC409600,XP_393103.2,409600,PREDICTED: SPRY domain-containing protein 7,GB42697,GB13188,XM_003397978.2,SPRY domain-containing protein 7,LOC100645601
XP_003398028.1,LOC107964962,LOC107964962,XP_016769466.1,107964962,PREDICTED: MFS-type transporter SLC18B1-like isoform X1,NA,NA,XM_003397980.2,MFS-type transporter SLC18B1-like,LOC100645839
XP_003398029.1,LOC727028,LOC727028,XP_001122741.1,727028,PREDICTED: uncharacterized protein LOC727028 isoform X1,GB42800,GB19662,XM_003397981.2,uncharacterized protein LOC100645951,LOC100645951
XP_003398030.1,LOC727021,LOC727021,XP_001122734.2,727021,PREDICTED: protein takeout-like,GB42799,GB17856,XM_003397982.2,protein takeout-like,LOC100646065
XP_003398031.1,LOC727010,LOC727010,XP_001122724.2,727010,PREDICTED: circadian clock-controlled protein-like,GB42702,NA,XM_003397983.2,circadian clock-controlled protein-like,LOC100646184
XP_003398032.1,LOC552773,LOC552773,XP_625151.1,552773,PREDICTED: protein takeout-like isoform X2,GB42798,GB16884,XM_003397984.2,uncharacterized protein LOC100646302,LOC100646302
XP_003398033.1,LOC724440,LOC724440,XP_001120297.2,724440,PREDICTED: calcium-transporting ATPase type 2C member 1 isoform X1,GB42814,GB19510,XM_003397985.2,calcium-transporting ATPase type 2C member 1 isoform X2,LOC100646424
XP_003398034.1,LOC102656101,LOC102656101,XP_006561720.1,102656101,PREDICTED: uncharacterized protein LOC102656101,NA,NA,XM_003397986.2,uncharacterized protein LOC100646546,LOC100646546
XP_003398035.1,LOC726981,LOC726981,XP_001122696.1,726981,PREDICTED: circadian clock-controlled protein,GB42797,GB13060,XM_003397987.2,circadian clock-controlled protein-like,LOC100646667
XP_003398036.1,LOC412767,LOC412767,XP_396220.2,412767,PREDICTED: protein takeout,GB42796,GB16869,XM_003397988.2,protein takeout,LOC100646789
XP_003398038.1,LOC412769,LOC412769,XP_006561717.1,412769,PREDICTED: protein archease-like,GB42705,GB18724,XM_003397990.2,protein archease-like,LOC100647033
XP_003398042.1,LOC409804,LOC409804,XP_623273.1,409804,PREDICTED: serine/threonine-protein phosphatase PP1-beta catalytic subunit isoform X1,GB42708,GB17612,XM_003397994.2,serine/threonine-protein phosphatase PP1-beta catalytic subunit isoform X2,LOC100647345
XP_003398051.1,LOC552639,LOC552639,XP_625017.1,552639,PREDICTED: acylphosphatase-1-like,GB52632,GB19157,XM_003398003.2,acylphosphatase-1-like,LOC100648791
XP_003398052.1,LOC724765,LOC724765,XP_016770030.1,724765,PREDICTED: protein embryonic gonad isoform X1,GB51231,GB18215,XM_003398004.2,zygotic gap protein knirps-like isoform X4,LOC100648906
XP_003398055.1,LOC726611,LOC726611,XP_001122336.2,726611,PREDICTED: uncharacterized protein LOC726611,GB50880,NA,XM_003398007.2,uncharacterized protein LOC100649218 isoform X1,LOC100649218
XP_003398056.1,LOC408280,LOC408280,XP_397488.3,408280,PREDICTED: cell surface glycoprotein 1-like,GB51174,GB16927,XM_003398008.2,DNA-directed RNA polymerase II subunit RPB1-like,LOC100649338
XP_003398057.1,LOC410190,LOC410190,XP_393673.3,410190,PREDICTED: tyrosine-protein kinase Dnt,GB50877,GB15069,XM_003398009.2,tyrosine-protein kinase Drl-like,LOC100649457
XP_003398058.1,LOC100578744,LOC100578744,XP_016769716.1,100578744,PREDICTED: uncharacterized protein LOC100578744,GB50876,GB11723,XM_003398010.2,apolipoprotein D-like,LOC100649583
XP_003398059.1,LOC551360,LOC551360,XP_016769943.1,551360,PREDICTED: transcription factor Ken 2 isoform X1,GB50874,GB18560,XM_003398011.2,transcription factor Ken 2 isoform X1,LOC100649697
XP_003398063.1,LOC410189,LOC410189,XP_016769868.1,410189,PREDICTED: 5\'-nucleotidase domain-containing protein 3 isoform X2,GB48745,GB15442,XM_003398015.2,"5-nucleotidase domain-containing protein 3 isoform X2	LOC100650162	100650162		1587	528	
CDS		GCF_000214255.1	Primary Assembly	linkage group	LG B10	NC_015771.1	180961	186057	-	XP_012168405.1		XM_012313015.1	5-nucleotidase domain-containing protein 3 isoform X1",LOC100650162
XP_003398064.1,LOC413441,LOC413441,XP_006569244.1,413441,PREDICTED: dnaJ homolog subfamily C member 3,GB48812,GB14000,XM_003398016.2,dnaJ homolog subfamily C member 3,LOC100650289
XP_003398065.1,LOC408276,LOC408276,XP_391829.3,408276,PREDICTED: putative ATP-dependent RNA helicase Pl10,GB48811,GB19873,XM_003398017.2,putative ATP-dependent RNA helicase Pl10,LOC100650410
XP_003398066.1,LOC410188,LOC410188,XP_393671.2,410188,PREDICTED: 60S ribosomal protein L8,GB48810,GB17629,XM_003398018.2,60S ribosomal protein L8,LOC100650532
XP_003398068.1,LOC100577127,LOC100577127,XP_006569243.1,100577127,"PREDICTED: proline-, glutamic acid- and leucine-rich protein 1-like isoform X1",GB48809,GB15961,XM_003398020.2,"proline-, glutamic acid- and leucine-rich protein 1-like",LOC100650776
XP_003398070.1,LOC724408,LOC724408,XP_001119898.1,724408,PREDICTED: ras-related GTP-binding protein A,GB48798,GB17040,XM_003398022.2,ras-related GTP-binding protein A,LOC100651012
XP_003398073.1,LOC724494,LOC724494,XP_003251332.1,724494,PREDICTED: methionine-R-sulfoxide reductase B1 isoform X1,GB48797,GB15486,XM_003398025.2,methionine-R-sulfoxide reductase B1,LOC100651210
XP_003398075.1,LOC412569,LOC412569,XP_396024.5,412569,"PREDICTED: probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial isoform X1",GB54260,GB15468,XM_003398027.2,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial isoform X1",LOC100651648
XP_003398076.1,LOC413924,LOC413924,XP_397363.4,413924,PREDICTED: glyceraldehyde-3-phosphate dehydrogenase-like isoform X3,GB50901,NA,XM_003398028.2,LOW QUALITY PROTEIN: glyceraldehyde-3-phosphate dehydrogenase-like,LOC100651765
XP_003398081.1,LOC412233,LOC412233,XP_395695.3,412233,PREDICTED: pseudouridine-metabolizing bifunctional protein C1861.05,GB54261,GB19798,XM_003398033.2,LOW QUALITY PROTEIN: pseudouridine-metabolizing bifunctional protein C1861.05,LOC100642217
XP_003398089.1,LOC409532,LOC409532,XP_393038.3,409532,PREDICTED: NAD-dependent protein deacetylase sirtuin-2 isoform X2,GB54259,GB12793,XM_003398041.2,NAD-dependent protein deacetylase sirtuin-2 isoform X2,LOC100643290
XP_003398094.1,LOC551610,LOC551610,XP_006564509.1,551610,PREDICTED: deoxyribodipyrimidine photo-lyase isoform X1,GB54252,GB13734,XM_003398046.2,deoxyribodipyrimidine photo-lyase-like isoform X1,LOC100643898
XP_003398115.2,LOC725108,LOC725108,XP_006562091.1,725108,PREDICTED: uncharacterized protein LOC725108 isoform X1,GB43367,GB19787,XM_003398067.2,uncharacterized protein LOC100646473,LOC100646473
XP_003398117.1,LOC551516,LOC551516,XP_623914.1,551516,PREDICTED: uncharacterized protein LOC551516,GB54254,GB18522,XM_003398069.2,uncharacterized protein LOC100646714,LOC100646714
XP_003398122.1,LOC724872,LOC724872,XP_016769950.1,724872,PREDICTED: uncharacterized protein LOC724872,GB52524,GB18095,XM_003398074.1,uncharacterized protein LOC100647304,LOC100647304
XP_003398123.1,LOC412310,LOC412310,XP_395771.3,412310,PREDICTED: cilia- and flagella-associated protein 20-like,GB52525,GB19203,XM_003398075.1,cilia- and flagella-associated protein 20-like,LOC100647426
XP_003398125.1,LOC727266,LOC727266,XP_001122976.1,727266,PREDICTED: uncharacterized protein LOC727266,GB54253,GB17894,XM_003398077.2,uncharacterized protein LOC100647663,LOC100647663
XP_003398126.1,LOC724767,LOC724767,XP_001120664.2,724767,PREDICTED: sodium channel protein Nach isoform X1,GB48330,GB10478,XM_003398078.2,sodium channel protein Nach,LOC100647779
XP_003398128.2,LOC724499,LOC724499,XP_001120371.1,724499,PREDICTED: mitochondrial pyruvate carrier 2-like,GB48332,GB16352,XM_003398080.2,mitochondrial pyruvate carrier 2-like,LOC100648025
XP_003398131.1,LOC100577839,LOC100577839,XP_006562940.1,100577839,PREDICTED: zinc finger protein 512B-like,GB48439,GB10072,XM_003398083.2,tetra-peptide repeat homeobox protein 1-like isoform X2,LOC100648365
XP_003398135.1,LOC410122,LOC410122,XP_393605.1,410122,PREDICTED: glyceraldehyde-3-phosphate dehydrogenase 2,GB50902,GB14798,XM_003398087.2,glyceraldehyde-3-phosphate dehydrogenase 2,LOC100648830
XP_003398136.2,LOC726326,LOC726326,XP_016769757.1,726326,PREDICTED: LOW QUALITY PROTEIN: DNA repair protein XRCC3-like,GB50968,GB15774,XM_003398088.2,DNA repair protein XRCC3 isoform X1,LOC100649065
XP_003398138.1,LOC410202,LOC410202,XP_393685.2,410202,PREDICTED: radial spoke head protein 3 homolog isoform X1,GB51084,GB14445,XM_003398090.2,radial spoke head protein 3 homolog,LOC100649417
XP_003398139.1,LOC102656356,LOC102656356,XP_016769727.1,102656356,PREDICTED: zinc finger protein SNAI2,NA,GB15985,XM_003398091.1,PR domain zinc finger protein 13-like,LOC100649540
XP_003398146.1,LOC413233,LOC413233,XP_006571879.1,413233,"PREDICTED: methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",GB47110,GB15067,XM_003398098.2,"methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial isoform X1",LOC100650447
XP_003398149.1,LOC411711,LOC411711,XP_395179.2,411711,PREDICTED: integrator complex subunit 6 isoform X2,GB54263,GB10092,XM_003398101.2,integrator complex subunit 6 isoform X1,LOC100650816
XP_003398150.1,LOC724483,LOC724483,XP_001120344.2,724483,PREDICTED: coiled-coil domain-containing protein 65-like isoform X1,GB47092,GB12512,XM_003398102.2,coiled-coil domain-containing protein 65-like,LOC100650931
XP_003398161.1,LOC550885,LOC550885,XP_623279.1,550885,PREDICTED: nicotinate phosphoribosyltransferase isoform X2,GB54268,GB15603,XM_003398113.2,nicotinate phosphoribosyltransferase isoform X2,LOC100642218
XP_003398162.1,LOC550885,LOC550885,XP_003250470.1,550885,PREDICTED: nicotinate phosphoribosyltransferase isoform X1,GB54268,GB15603,XM_003398114.2,nicotinate phosphoribosyltransferase isoform X1,LOC100642218
